ステージID,ステージ名,特典会フラグ
0,STAGE 1,False
1,STAGE 2,False
2,【STAGE 1】A,True
3,【STAGE 1】B,True
4,【STAGE 1】C,True
5,【STAGE 1】D,True
6,【STAGE 1】終演後,True
7,【STAGE 2】A,True
8,【STAGE 2】B,True
9,【STAGE 2】C,True
10,【STAGE 2】D,True
11,【STAGE 2】終演後,True
