出番ID,ライブ_from,ライブ_長さ(分),グループID,ステージID,グループ名_raw,グループ名,ステージ名,備考
0,13:00,15,96,0,オープニング,オープニング,Zepp Shinjuku (TOKYO),
1,13:15,30,61,0,UtaGe!,UtaGe!,Zepp Shinjuku (TOKYO),
2,13:50,30,97,0,カラフルスクリーム,カラフルスクリーム,Zepp Shinjuku (TOKYO),
3,14:25,30,35,0,MyDearDarlin',MyDearDarlin',Zepp Shinjuku (TOKYO),
4,15:00,30,17,0,FES☆TIVE,FES☆TIVE,Zepp Shinjuku (TOKYO),
5,15:35,30,82,0,かすみ草とステラ,かすみ草とステラ,Zepp Shinjuku (TOKYO),
6,16:10,30,5,0,Appare!,Appare!,Zepp Shinjuku (TOKYO),
7,16:45,30,139,0,衛星とカラテア,衛星とカラテア,Zepp Shinjuku (TOKYO),
8,17:20,30,7,0,AsIs,AsIs,Zepp Shinjuku (TOKYO),
9,17:55,30,106,0,ドラマチックレコード,ドラマチックレコード,Zepp Shinjuku (TOKYO),
10,18:30,30,51,0,Rain Tree,Rain Tree,Zepp Shinjuku (TOKYO),
11,19:05,30,90,0,わーすた,わーすた,Zepp Shinjuku (TOKYO),
12,19:40,30,143,0,高嶺のなでしこ,高嶺のなでしこ,Zepp Shinjuku (TOKYO),
13,13:15,25,57,1,Sophia la Mode,Sophià la Mode,APEXIA,
14,13:40,25,30,1,Luce Twinkle Wink☆,Luce Twinkle Wink☆,APEXIA,
15,14:10,25,52,1,RiNCENT#,RiNCENT♯,APEXIA,
16,14:35,25,87,1,びっくえんじぇる,びっくえんじぇる,APEXIA,
17,15:05,25,46,1,PinkySpice,PinkySpice,APEXIA,
18,15:30,25,117,1,ラナキュラ,ラナキュラ,APEXIA,
19,16:00,25,99,1,クマリデパート,クマリデパート,APEXIA,
20,16:25,25,107,1,ハルニシオン,ハルニシオン,APEXIA,
21,16:55,25,42,1,Palette Parade,Palette Parade,APEXIA,
22,17:20,25,56,1,SUPER☆GiRLS,SUPER☆GiRLS,APEXIA,
23,17:50,25,113,1,マジカル・パンチライン,マジカル・パンチライン,APEXIA,
24,18:15,25,136,1,点染テンセイ少女。,点染テンセイ少女。,APEXIA,
25,13:15,25,88,2,まねきケチャ,まねきケチャ,新宿LOFT,
26,13:40,25,70,2,from ドゥームズデイステージ,from ドゥームズデイステージ,新宿LOFT,
27,14:10,25,20,2,GANGDEMIC,GANGDEMIC,新宿LOFT,
28,14:35,25,133,2,月に足跡を残した少女達は一体何を見たのか…,月に足跡を残した少女達は一体何を見たのか…,新宿LOFT,
29,15:05,25,28,2,LarmeR,LarmeR,新宿LOFT,
30,15:30,25,141,2,透色ドロップ,透色ドロップ,新宿LOFT,
31,16:00,25,37,2,NUANCE,NUANCE,新宿LOFT,
32,16:25,25,65,2,alma,alma,新宿LOFT,
33,16:55,25,47,2,RAViDAVi,RAViDAVi,新宿LOFT,
34,17:20,25,18,2,FOKALITE,FOKALITE,新宿LOFT,
35,17:50,25,76,2,zanka,zanka,新宿LOFT,
36,18:15,25,142,2,開歌-かいか-,開歌-かいか-,新宿LOFT,
37,18:45,25,44,2,Pastel Closet,Pastel Closet,新宿LOFT,
38,19:10,25,9,2,BELLRING少女ハート,BELLRING少女ハート,新宿LOFT,
39,19:35,25,101,2,ジエメイ,ジエメイ,新宿LOFT,
40,13:15,25,23,3,I to U $CREAMing!!,I to U $CREAMing!!,新宿MARZ,
41,13:40,25,64,3,YA'ABURNEE,YA'ABURNEE,新宿MARZ,
42,14:10,25,45,3,Payrin's,Payrin's,新宿MARZ,
43,14:35,25,109,3,ピューパ!!,ピューパ!!,新宿MARZ,
44,15:05,25,68,3,demipogune,demipogune,新宿MARZ,
45,15:30,25,67,3,courtesea,courtesea,新宿MARZ,
46,16:00,25,110,3,ファーストプレイリスト,ファーストプレイリスト,新宿MARZ,
47,16:25,25,74,3,myojou,myojou,新宿MARZ,
48,16:55,25,63,3,XINXIN,XINXIN,新宿MARZ,
49,17:20,25,66,3,buGG,buGG,新宿MARZ,
50,17:50,25,75,3,yumegiwa last girl,yumegiwa last girl,新宿MARZ,
51,18:15,25,73,3,lonlium,lonlium,新宿MARZ,
52,18:45,25,129,3,室田瑞希,室田瑞希,新宿MARZ,
53,19:10,25,69,3,diig,diig,新宿MARZ,
54,19:35,25,84,3,じゅじゅ,じゅじゅ,新宿MARZ,
55,13:15,25,100,4,シャルロット,シャルロット,Zirco Tokyo,
56,13:40,25,1,4,AND CaaaLL,AND CaaaLL,Zirco Tokyo,
57,14:10,25,135,4,泡沫パーティーズ,泡沫パーティーズ,Zirco Tokyo,
58,14:35,25,72,4,iRiNE,iRiNE,Zirco Tokyo,
59,15:05,25,131,4,嫌子の音返し,撫子の音返し,Zirco Tokyo,
60,15:30,25,24,4,IWI!,IWI!,Zirco Tokyo,
61,16:00,25,71,4,fromドゥームズデイステージ,fromドゥームズデイステージ,Zirco Tokyo,
62,16:25,25,112,4,ポラリスマイル,ポラリスマイル,Zirco Tokyo,
63,16:55,25,119,4,ラプラス,ラプラス,Zirco Tokyo,
64,17:20,25,2,4,Aerolipop,Aerolipop,Zirco Tokyo,
65,17:50,25,58,4,Sugar♡Holic,Sugar♡Holic,Zirco Tokyo,
66,18:15,25,95,4,オカシリゾート,オカシリゾート,Zirco Tokyo,
67,18:45,25,50,4,ROSARIO+CROSS,ROSARIO+CROSS,Zirco Tokyo,
68,19:10,25,98,4,キミイロプロジェクト,キミイロプロジェクト,Zirco Tokyo,
69,19:35,25,48,4,READY TO KISS,READY TO KISS,Zirco Tokyo,
70,13:15,25,38,5,Next☆Rico,Next☆Rico,SHINJUKU WALLY,
71,13:40,25,54,5,SEKAIE☆,SEKAIE☆,SHINJUKU WALLY,
72,14:10,25,29,5,Loulouchouchou,Loulouchouchou,SHINJUKU WALLY,
73,14:35,25,16,5,EcruRare,EcruRare,SHINJUKU WALLY,
74,15:05,25,78,5,『アイコノクラズム』,『アイコノクラズム』,SHINJUKU WALLY,
75,15:30,25,39,5,OS☆U,OS☆U,SHINJUKU WALLY,
76,16:00,25,85,5,すーぱーぷーばぁー!!,すーぱーぷーばぁー!!,SHINJUKU WALLY,
77,16:25,25,80,5,あかぎ団,あかぎ団,SHINJUKU WALLY,
78,16:55,25,115,5,ミリオン! 〜Million Heaven Tokyo〜,ミリオン！~ Million Heaven Tokyo ~,SHINJUKU WALLY,
79,17:20,25,34,5,Menkoiガールズ,Menkoiガールズ,SHINJUKU WALLY,
80,17:50,25,6,5,Aproof,Aproof,SHINJUKU WALLY,
81,18:15,25,22,5,Honey Devil,Honey Devil,SHINJUKU WALLY,
82,18:45,25,26,5,KOURiN,KOURiN,SHINJUKU WALLY,
83,19:10,25,55,5,SOMOSOMO,SOMOSOMO,SHINJUKU WALLY,
84,19:35,25,138,5,虹色の飛行少女,虹色の飛行少女,SHINJUKU WALLY,
85,13:15,25,125,6,可憐なアイボリー,可憐なアイボリー,シアターマーキュリー新宿,
86,13:40,25,137,6,絶対少女,絶対少女,シアターマーキュリー新宿,
87,14:10,25,103,6,スーパーベイビーズ,スーパーベイビーズ,シアターマーキュリー新宿,
88,14:35,25,32,6,MEOWMEW,MEOWMEW,シアターマーキュリー新宿,
89,15:05,25,124,6,可愛いって言わないと呪う!,可愛いって言わないと呪う！,シアターマーキュリー新宿,
90,15:30,25,130,6,抜けてるくらいがちょうどいい,抜けてるくらいがちょうどいい,シアターマーキュリー新宿,
91,16:00,25,62,6,WT☆Egret,WT☆Egret,シアターマーキュリー新宿,
92,16:25,25,122,6,ワガママなラストノート,ワガママなラストノート,シアターマーキュリー新宿,
93,16:55,25,77,6,α+,α+,シアターマーキュリー新宿,
94,17:20,25,11,6,Bunny La Crew,Bunny La Crew,シアターマーキュリー新宿,
95,17:50,25,111,6,フューチャーサイダー,フューチャーサイダー,シアターマーキュリー新宿,
96,18:15,25,134,6,江戸桜,江戸桜,シアターマーキュリー新宿,
97,18:45,25,19,6,FULIT BOX,FULIT BOX,シアターマーキュリー新宿,
98,19:10,25,15,6,DREAMING MONSTER,DREAMING MONSTER,シアターマーキュリー新宿,
99,19:35,25,121,6,ルルネージュ,ルルネージュ,シアターマーキュリー新宿,
100,13:15,25,123,7,八木沙季,八木沙季,新宿motion,
101,13:40,25,49,7,RETRORAIN,RETRORAIN,新宿motion,
102,14:10,25,104,7,セカイシティ,セカイシティ,新宿motion,
103,14:35,25,93,7,エイアイカ,エイアイカ,新宿motion,
104,15:05,25,33,7,MEWCATUNE,MEWCATUNE,新宿motion,
105,15:30,25,41,7,PSYRO,PSYRO,新宿motion,
106,16:00,25,3,7,Amairo-Flip,Amairo-Flip,新宿motion,
107,16:25,25,40,7,POPPiNG EMO,POPPiNG EMO,新宿motion,
108,16:55,25,105,7,トナリア,トナリア,新宿motion,
