グループID,グループ名_採用
0,-天-
1,AND CaaaLL
2,Aerolipop
3,Amairo-Flip
4,Ange☆Reve
5,Appare!
6,Aproof
7,AsIs
8,Aurora
9,BELLRING少女ハート
10,Bety
11,Bunny La Crew
12,Cherie!
13,Chu-Hapi
14,Crisp Melo
15,DREAMING MONSTER
16,EcruRare
17,FES☆TIVE
18,FOKALITE
19,FULIT BOX
20,GANGDEMIC
21,HAPPY CREATORS
22,Honey Devil
23,I to U $CREAMing!!
24,IWI!
25,JAPANARIZM
26,KOURiN
27,LOVEME
28,LarmeR
29,Loulouchouchou
30,Luce Twinkle Wink☆
31,LumiDay
32,MEOWMEW
33,MEWCATUNE
34,Menkoiガールズ
35,MyDearDarlin'
36,My_Stage
37,NUANCE
38,Next☆Rico
39,OS☆U
40,POPPiNG EMO
41,PSYRO
42,Palette Parade
43,Panic Monster !n Wonderland
44,Pastel Closet
45,Payrin's
46,PinkySpice
47,RAViDAVi
48,READY TO KISS
49,RETRORAIN
50,ROSARIO+CROSS
51,Rain Tree
52,RiNCENT♯
53,SCRAMBLE SMILE
54,SEKAIE☆
55,SOMOSOMO
56,SUPER☆GiRLS
57,Sophià la Mode
58,Sugar♡Holic
59,UNDO
60,UPローチ
61,UtaGe!
62,WT☆Egret
63,XINXIN
64,YA'ABURNEE
65,alma
66,buGG
67,courtesea
68,demipogune
69,diig
70,from ドゥームズデイステージ
71,fromドゥームズデイステージ
72,iRiNE
73,lonlium
74,myojou
75,yumegiwa last girl
76,zanka
77,α+
78,『アイコノクラズム』
79,あいすなっつ
80,あかぎ団
81,かかかぶぶぶききき!!!
82,かすみ草とステラ
83,しろもん
84,じゅじゅ
85,すーぱーぷーばぁー!!
86,ちゃーむぽっしゅ
87,びっくえんじぇる
88,まねきケチャ
89,ゆるっと革命団
90,わーすた
91,ゑんら
92,アイドルは下剋上
93,エイアイカ
94,エラバレシ
95,オカシリゾート
96,オープニング
97,カラフルスクリーム
98,キミイロプロジェクト
99,クマリデパート
100,シャルロット
101,ジエメイ
102,スターリットストーリー
103,スーパーベイビーズ
104,セカイシティ
105,トナリア
106,ドラマチックレコード
107,ハルニシオン
108,パピプペポは難しい
109,ピューパ!!
110,ファーストプレイリスト
111,フューチャーサイダー
112,ポラリスマイル
113,マジカル・パンチライン
114,マリークラウン
115,ミリオン！~ Million Heaven Tokyo ~
116,メリーパレード
117,ラナキュラ
118,ラビットビット
119,ラプラス
120,リルリボン
121,ルルネージュ
122,ワガママなラストノート
123,八木沙季
124,可愛いって言わないと呪う！
125,可憐なアイボリー
126,吉川友
127,塩見きら
128,奏音コレクト
129,室田瑞希
130,抜けてるくらいがちょうどいい
131,撫子の音返し
132,昼夜逆転
133,月に足跡を残した少女達は一体何を見たのか…
134,江戸桜
135,泡沫パーティーズ
136,点染テンセイ少女。
137,絶対少女
138,虹色の飛行少女
139,衛星とカラテア
140,踊れ！神風
141,透色ドロップ
142,開歌-かいか-
143,高嶺のなでしこ
144,魔訶不思議変革者-デスデス-
