グループID,グループ名_採用
0,#Mooove!
1,#よーよーよー
2,#ジューロック
3,4864.
4,AOAO
5,AdamLilith
6,Appare!
7,BUNGEE GUM.
8,CAL&RES
9,CIDER GEM
10,COLOR of COLOR
11,Cherie!
12,DREAMING MONSTER
13,Devil ANTHEM.
14,EDEN
15,EcruRare
16,FES☆TIVE
17,Falench.
18,GANG PARADE
19,INFIY∞
20,Ill
21,KATACOTO＊BANK
22,KATA☆CHU
23,KiSS KiSS
24,LADYBABY
25,LiVS
26,Lily scale
27,Lって何のLですか？
28,MEOWMEW
29,Malcolm Mask McLaren
30,Melty BeaR
31,Merry BAD TUNE.
32,Mewro
33,MiX BeRRY
34,My Starry Diary
35,My:ME//OW
36,NANIMONO
37,NEO JAPONISM
38,NiLUNLOCK
39,PRSMIN
40,PSYCHOデリック
41,Palpitink
42,Pastel Closet
43,Peel the Apple
44,RAViDAVi
45,ReFLiA
46,RiNCENT♯
47,SAISON
48,SEKAIE☆
49,SHAKEBE
50,STAiNY
51,Sweet Alley
52,TENRIN
53,Tohkei
54,Toi Toi Toi
55,UtaGe!
56,VILLAINS HOUSE
57,YumeLia
58,ZUTTOMOTTO
59,buGG
60,chuLa
61,hakanai
62,log you
63,mementoa
64,metarium
65,miao
66,myojou
67,selfish
68,α+
69,→Taria.
70,あいすなっつ
71,あの日見たラッキースター
72,いつかの夜に僕たちが、
73,かすみ草とステラ
74,こみっきゅおん！
75,さよならステイチューン
76,ちゃーむぽっしゅ
77,なんキニ!
78,にっぽん！真骨頂
79,のんふぃく！
80,ぶっとび！パンデミック
81,べるべっとセンテンス
82,まぶだちゅ！
83,アイテムはてるてるのみ
84,アイドルカレッジ
85,アキシブproject
86,カラフルスクリーム
87,キングサリ
88,クマリデパート
89,シオリベル
90,シャニムニ＝パレード
91,ジエメイ
92,セレインノート
93,ドラマチックレコード
94,ネコプラpixx.
95,ハルカエコー
96,ハルニシオン
97,ハレとハレ！
98,パラディーク
99,パラレルサイダー
100,フューチャーサイダー
101,フルコース
102,ベロティカ
103,ポンコツコンポ
104,マリークラウン
105,モモんちゅ・メリ
106,ルージュブック
107,愛乙女☆DOLL
108,最終未来少女
109,月とソーダ
110,蛍
111,衛星とカラテア
112,踊れ！神風
113,透色ドロップ
