出番ID,ライブ_from,ライブ_長さ(分),グループID,ステージID,グループ名_raw,グループ名,ステージ名,備考
0,10:00,25,98,0,パラディーク,パラディーク,TIGER STAGE,
1,10:25,25,62,0,Iog you,log you,TIGER STAGE,
2,10:50,25,36,0,NANIMONO,NANIMONO,TIGER STAGE,
3,11:15,25,50,0,STAiNY,STAiNY,TIGER STAGE,
4,11:45,25,51,0,Sweet Alley,Sweet Alley,TIGER STAGE,
5,12:10,25,85,0,アキシブproject,アキシブproject,TIGER STAGE,
6,12:35,25,73,0,かすみ草とステラ,かすみ草とステラ,TIGER STAGE,
7,13:00,25,16,0,FES☆TIVE,FES☆TIVE,TIGER STAGE,
8,13:25,20,9,0,coming soon...,CIDER GEM,TIGER STAGE,
9,13:50,25,101,0,フルコース,フルコース,TIGER STAGE,
10,14:15,25,43,0,Peel the Apple,Peel the Apple,TIGER STAGE,
11,14:40,25,4,0,AOAO,AOAO,TIGER STAGE,
12,15:05,25,96,0,ハルニシオン,ハルニシオン,TIGER STAGE,
13,15:40,25,60,0,chuLa,chuLa,TIGER STAGE,
14,16:05,25,93,0,ドラマチックレコード,ドラマチックレコード,TIGER STAGE,
15,16:30,25,55,0,UtaGe!,UtaGe!,TIGER STAGE,
16,16:55,20,9,0,coming soon...,CIDER GEM,TIGER STAGE,
17,17:20,25,31,0,Merry BAD TUNE.,Merry BAD TUNE.,TIGER STAGE,
18,17:45,25,91,0,ジエメイ,ジエメイ,TIGER STAGE,
19,18:10,25,13,0,Devil ANTHEM.,Devil ANTHEM.,TIGER STAGE,
20,18:35,25,37,0,NEO JAPONISM,NEO JAPONISM,TIGER STAGE,
21,19:10,25,18,0,GANG PARADE,GANG PARADE,TIGER STAGE,
22,19:35,25,79,0,のんふぃく！,のんふぃく！,TIGER STAGE,
23,20:00,30,6,0,Appare!,Appare!,TIGER STAGE,
24,10:00,20,84,1,アイドルカレッジ,アイドルカレッジ,MONKEY STAGE,
25,10:20,20,64,1,metarium,metarium,MONKEY STAGE,
26,10:40,20,8,1,CAL&RES,CAL&RES,MONKEY STAGE,
27,11:00,20,107,1,愛乙女☆DOLL,愛乙女☆DOLL,MONKEY STAGE,
28,11:25,20,113,1,透色ドロップ,透色ドロップ,MONKEY STAGE,
29,11:45,20,66,1,myjyou,myojou,MONKEY STAGE,
